[(1, 2), (2, 24), (3, 38)]
[(1, 12), (2, 41), (3, 11)]
[(1, 11), (2, 35), (3, 18)]
[(1, 32), (2, 16), (3, 16)]
[(1, 22), (2, 16), (3, 26)]
[(1, 28), (2, 32), (3, 4)]
[(1, 13), (2, 29), (3, 22)]
[(1, 12), (2, 25), (3, 27)]
[(1, 29), (2, 30), (3, 5)]
[(1, 9), (2, 7), (3, 48)]
[(1, 21), (2, 15), (3, 28)]
[(1, 2), (2, 11), (3, 51)]
[(1, 16), (2, 34), (3, 14)]
[(1, 41), (2, 14), (3, 9)]
[(1, 58), (2, 4), (3, 2)]
[(1, 42), (2, 15), (3, 7)]
[(1, 9), (2, 41), (3, 14)]
[(1, 4), (2, 19), (3, 41)]
[(1, 10), (2, 40), (3, 14)]
[(1, 4), (2, 50), (3, 10)]
[(1, 14), (2, 20), (3, 30)]
[(1, 55), (2, 6), (3, 3)]
[(1, 22), (2, 9), (3, 33)]
[(1, 14), (2, 20), (3, 30)]
[(1, 2), (2, 5), (3, 57)]
[(1, 12), (2, 15), (3, 37)]
[(1, 33), (2, 2), (3, 29)]
[(1, 13), (2, 37), (3, 14)]
[(1, 27), (2, 29), (3, 8)]
[(1, 9), (2, 22), (3, 33)]
[(1, 4), (2, 2), (3, 58)]
[(1, 28), (2, 13), (3, 23)]
[(1, 17), (2, 28), (3, 19)]
[(1, 21), (2, 35), (3, 8)]
[(1, 26), (2, 12), (3, 26)]
[(1, 22), (2, 23), (3, 19)]
[(1, 3), (2, 3), (3, 58)]
[(1, 4), (2, 42), (3, 18)]
[(1, 4), (2, 14), (3, 46)]
[(1, 42), (2, 15), (3, 7)]
[(1, 2), (2, 55), (3, 7)]
[(1, 31), (2, 2), (3, 31)]
[(1, 43), (2, 6), (3, 15)]
[(1, 45), (2, 9), (3, 10)]
[(1, 48), (2, 9), (3, 7)]
[(1, 30), (2, 10), (3, 24)]
[(1, 10), (2, 42), (3, 12)]
[(1, 14), (2, 41), (3, 9)]
[(1, 34), (2, 26), (3, 4)]
[(1, 11), (2, 30), (3, 23)]
[(1, 21), (2, 4), (3, 39)]
[(1, 15), (2, 31), (3, 18)]
[(1, 12), (2, 7), (3, 45)]
[(1, 50), (2, 10), (3, 4)]
[(1, 43), (2, 4), (3, 17)]
[(1, 3), (2, 42), (3, 19)]
[(1, 10), (2, 16), (3, 38)]
[(1, 10), (2, 5), (3, 49)]
[(1, 38), (2, 11), (3, 15)]
[(1, 17), (2, 42), (3, 5)]
[(1, 2), (2, 2), (3, 60)]
[(1, 22), (2, 26), (3, 16)]
[(1, 2), (2, 5), (3, 57)]
[(1, 4), (2, 57), (3, 3)]
[(1, 5), (2, 18), (3, 41)]
[(1, 7), (2, 14), (3, 43)]
[(1, 56), (2, 4), (3, 4)]
[(1, 23), (2, 24), (3, 17)]
[(1, 49), (2, 4), (3, 11)]
[(1, 41), (2, 20), (3, 3)]
[(1, 13), (2, 47), (3, 4)]
[(1, 41), (2, 9), (3, 14)]
[(1, 21), (2, 39), (3, 4)]
[(1, 11), (2, 32), (3, 21)]
[(1, 15), (2, 38), (3, 11)]
[(1, 45), (2, 12), (3, 7)]
[(1, 27), (2, 12), (3, 25)]
[(1, 12), (2, 12), (3, 40)]
[(1, 14), (2, 14), (3, 36)]
[(1, 8), (2, 31), (3, 25)]
[(1, 34), (2, 11), (3, 19)]
[(1, 20), (2, 7), (3, 37)]
[(1, 7), (2, 19), (3, 38)]
[(1, 8), (2, 4), (3, 52)]
[(1, 33), (2, 4), (3, 27)]
[(1, 16), (2, 3), (3, 45)]
[(1, 39), (2, 12), (3, 13)]
[(1, 17), (2, 34), (3, 13)]
[(1, 2), (2, 32), (3, 30)]
[(1, 45), (2, 3), (3, 16)]
[(1, 27), (2, 12), (3, 25)]
[(1, 13), (2, 13), (3, 38)]
[(1, 6), (2, 2), (3, 56)]
[(1, 32), (2, 26), (3, 6)]
